事件卡名稱,事件簡述,任務條件,成功獎勵,失敗懲罰,卡牌張數,,
歲月靜好,時光未央 歲月靜好 現世安穩 故國如初,無,無,無,5,,
全國人大召開,紅軍各地官員為了在大會期間展現政績 紛紛祭出過激手段壓制民間陳情與抗爭,[反抗必隨壓迫而起]使用或觸發至少1次陣營特殊能力,[覺醒之士投身我方]抽1張牌,[鐵拳之下同志潰散]被紅軍無視距離瓦解1個牆內組織,2,,
香港抗暴之戰,紅軍修法破壞香港的自由與自治 百萬香港市民前仆後繼上街對抗惡法,[運用資金支援前線]打出至少1張購買費用有資金的卡牌,[風雨同路手足同情]獲得2張宣傳家,[兄弟爬山各自努力]己方選1張手牌棄掉,1,,
重大災難,人民團結一心共抗災難 卻有些紅軍官員為掩蓋過失而草菅人命,[寧鳴而死不默而生]打出至少1張購買費用有宣傳的卡牌,[悲憤無畏的吹哨人]獲得1張宣傳家,[大難當前無暇他顧]己方選1張手牌棄掉,2,,
藏印邊境軍事對峙,紅軍與印度軍在藏印邊境發生對峙與衝突 紅軍高層暫時無暇顧及國內瑣事,[趁機加速組織工作]在牆內建立至少1個組織,[裡應外合趁虛而入]進行2次組織遷移,無,2,,
貿易戰加劇,為矯正紅軍不正當的商業競爭手段 英美諸國祭出高額關稅重創紅軍財政,[逆襲之日或已來臨]購買至少1張英美奧援 或至少1張購買費用4點以上的卡牌,[反共志士重回陣線]從棄牌堆選1張牌置於牌庫頂,無,2,,
東突厥集中營,紅軍以反恐與再教育為由囚禁上百萬穆斯林 維吾爾與哈薩克人被性侵、絕育和虐殺,[保衛出逃的見證者]打出至少1張購買費用有宣傳的卡牌,[發生在我身上的事]獲得1張宣傳家,[出逃者遭紅軍謀害]被紅軍隨機棄掉1張手牌,1,,
北京政爭,帝都夜未眠 青年學生與紅軍反對派系 正各自謀劃著些什麼,[試圖伸出友誼之手]藉由卡牌效果或能力從牌庫抽取至少1張牌,[暗送秋波互為照應]抽1張牌,無,1,,
紅軍權貴出逃,紅軍當權派借打擊貪腐之名整肅反對派 失勢者冒險攜眷出逃 投靠境外勢力,[掩護政軍要人出逃]進行至少3次組織遷移,[供出我方潛藏內鬼]從己方手牌或棄牌中移除1張牌,[喪失重要情報來源]己方選1張手牌棄掉,2,,
烏魯木齊七五事件,示威演變為暴動與仇殺 更引來鎮壓與清鄉 紅軍切斷東突厥網路與國際電話一整年,[探聽東突厥的現況]在回合結束時至少有1個組織在牆內,[配合外媒建立渠道]免費在己方組織1格內建立1個組織,[缺乏一手消息來源]被紅軍隨機棄掉1張手牌,1,,
上海合作組織,紅軍以打擊恐怖主義之名 要求北方諸國協助消滅反對紅軍的組織,自動執行：紅軍對北國城鎮組織可使用武裝與間諜類卡牌的距離增加為5格,無,無,2,,
一帶一路 南洋,為了爭取紅軍的鉅額投資計畫 南洋諸國允許紅軍在當地拓展勢力範圍,自動執行：紅軍可以免費在南洋無視距離建立1個組織,無,無,2,,
一帶一路 天方,為了爭取紅軍的鉅額投資計畫 天方諸國允許紅軍在當地拓展勢力範圍,自動執行：紅軍可以免費在天方無視距離建立1個組織,無,無,2,,
,,,,,,,
時代關卡名稱,時代關卡簡述,觸發條件,紅軍壓制,革命反撲,卡牌張數,,
[香港]香港人被自殺,紅軍用不會受國際譴責的方式出兵鎮壓香港：讓警察和武警潛入民宅姦殺抗爭者,[香港抗爭遍地開花]香港在牆內擁有至少10個有效組織,[新型態的血腥鎮壓]紅軍每次對香港使用間諜類卡牌時，可再隨機棄掉香港1張手牌。持續2回合。,[沉冤待雪香港報仇]香港購買每張武裝類卡牌之費用額外減少2點資金。持續2回合。,1,,
